service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
i-tr100_1,20251208,20251214,0,0,0,0,0,0,1
i-tr100_10,20260209,20260215,0,0,0,0,0,0,1
i-tr100_11,20260216,20260222,0,0,0,0,0,0,1
i-tr100_12,20260223,20260301,0,0,0,0,0,0,1
i-tr100_13,20260302,20260308,0,0,0,0,0,0,1
i-tr100_14,20260309,20260315,0,0,0,0,0,0,1
i-tr100_15,20260316,20260322,0,0,0,0,0,0,1
i-tr100_16,20260323,20260329,0,0,0,0,0,0,1
i-tr100_18,20260406,20260412,1,0,0,0,0,0,1
i-tr100_19,20260413,20260419,0,0,0,0,0,0,1
i-tr100_20,20260420,20260426,0,0,0,0,0,0,1
i-tr100_21,20260427,20260503,0,0,0,0,0,0,1
i-tr100_22,20260504,20260510,0,0,0,0,0,0,1
i-tr100_23,20260511,20260517,0,0,0,0,0,0,1
i-tr100_24,20260518,20260524,0,0,0,0,0,0,1
i-tr100_25,20260525,20260531,0,0,0,0,0,0,1
i-tr100_26,20260601,20260607,0,0,0,0,0,0,1
i-tr100_27,20260608,20260614,0,0,0,0,0,0,1
i-tr100_42,20260921,20260927,0,0,0,0,0,0,1
i-tr100_43,20260928,20261004,0,0,0,0,0,0,1
i-tr100_44,20261005,20261011,0,0,0,0,0,0,1
i-tr100_45,20261012,20261018,0,0,0,0,0,0,1
i-tr100_46,20261019,20261025,0,0,0,0,0,0,1
i-tr100_47,20261026,20261101,0,0,0,0,0,0,1
i-tr100_48,20261102,20261108,0,0,0,0,0,0,1
i-tr100_49,20261109,20261115,0,0,0,0,0,0,1
i-tr100_5,20260105,20260111,0,1,0,0,0,0,1
i-tr100_50,20261116,20261122,0,0,0,0,0,0,1
i-tr100_51,20261123,20261129,0,0,0,0,0,0,1
i-tr100_52,20261130,20261206,0,0,0,0,0,0,1
i-tr100_6,20260112,20260118,0,0,0,0,0,0,1
i-tr100_7,20260119,20260125,0,0,0,0,0,0,1
i-tr100_8,20260126,20260201,0,0,0,0,0,0,1
i-tr100_9,20260202,20260208,0,0,0,0,0,0,1
i-tr1000_29,20260622,20260628,0,0,0,0,0,0,1
i-tr1000_30,20260629,20260705,1,1,1,1,1,0,1
i-tr1000_31,20260706,20260712,1,1,1,1,1,0,1
i-tr1000_32,20260713,20260719,1,1,1,1,1,0,1
i-tr1000_33,20260720,20260726,1,1,1,1,1,0,1
i-tr1000_34,20260727,20260802,1,1,1,1,1,0,1
i-tr1000_35,20260803,20260809,1,1,1,1,1,0,1
i-tr1000_36,20260810,20260816,1,1,1,1,1,0,1
i-tr1000_37,20260817,20260823,1,1,1,1,1,0,1
i-tr1000_38,20260824,20260830,1,1,1,1,1,0,1
i-tr1001_29,20260622,20260628,0,0,0,0,0,1,1
i-tr1001_30,20260629,20260705,1,1,1,1,1,1,1
i-tr1001_31,20260706,20260712,1,1,1,1,1,1,1
i-tr1001_32,20260713,20260719,1,1,1,1,1,1,1
i-tr1001_33,20260720,20260726,1,1,1,1,1,1,1
i-tr1001_34,20260727,20260802,1,1,1,1,1,1,1
i-tr1001_35,20260803,20260809,1,1,1,1,1,1,1
