stop_id,stop_name,stop_lat,stop_lon
i-o835,Bubnjarci,45.6442334657,15.3513141103
i-o450,Osijek Donji grad,45.5522315055,18.7212676508
i-o676,Martijanec,46.261419312,16.5325778384
i-o974,Ražine,43.7054132878,15.923201031
i-o455,Osijek Dravski Most,45.5587547338,18.7036370234
i-o653,Đulovac,45.6643288236,17.4312638855
i-o642,Mihaljevci,45.3793233212,17.6720672318
i-o547,Okučani,45.2523615675,17.2062904278
i-o1031,Novi Jankovci,45.2465789173,18.9007894039
i-o574,Odra,45.7338960484,16.0116932696
i-o738,Turčin,46.2540486729,16.3587592991
i-o405,Mirkovci,45.2788254907,18.8560710101
i-o575,Zagreb Klara,45.7559442538,15.9813005823
i-o740,Doljan,46.2443375973,16.33637493
i-o498,Sisak Caprag,45.458077153,16.3905162494
i-o977,Borut,45.3043263497,14.052268776
i-o657,Vukovje,45.6196857942,17.2722651062
i-o1000,Ročko polje,45.3738620651,14.0799030898
i-o409,Stari Mikanovci,45.266579259,18.5396620803
i-o1015,Kopanica-Beravci,45.1490109563,18.4144959005
i-o416,Bršadin-Lipovača,45.3677219279,18.91652651
i-o952,Labin Dalmatinski,43.5837773092,16.2331330771
i-o660,Sirač,45.529923946,17.2409793668
i-o877,Plaški,45.0783340603,15.3680749673
i-o951,Prgomet,43.610294745,16.2261750756
i-o790,Draganići,45.5694188445,15.6093394054
i-o447,Brijest,45.5170201171,18.6720632299
i-o847,Delnice,45.3915011564,14.7974259247
i-o514,Sesvete,45.8248451177,16.109907637
i-o858,Ogulin,45.266043194,15.2315249436
i-o452,Osijek OLT,45.5541115303,18.7055093998
i-o651,Pepelana,45.7393706527,17.4912959019
i-o410,Strizivojna-Vrpolje,45.2272836842,18.4136503026
i-o884,Šušnjevo Selo,45.2103291786,15.2832194633
i-o832,Zaluka,45.6246723367,15.4633274243
i-o662,Pakrac,45.4473208501,17.1954973996
i-o650,Bučje-Koprivnica,45.247243831,17.7576186244
i-o550,Slobodnica,45.1769993723,17.9271623266
i-o429,Drenovci,44.9198304655,18.8589120064
i-o938,Siverić,43.8742024228,16.1966948584
i-o568,Greda,45.5305665295,16.2930349102
i-o595,Majurec,46.0267154325,16.590189162
i-o425,Privlaka,45.1983598622,18.8484507785
i-o421,Erdut,45.5073862033,19.0491230008
i-o453,Standard,45.5453014983,18.7421494903
i-o736,Novi Marof,46.1769078653,16.338333136
i-o487,Jasenovac,45.2761497927,16.9106168451
i-o552,Stari Slatnik,45.1702495585,17.8420350171
i-o616,Žabjak,45.9269429032,16.7320263931
i-o640,Blacko-Jakšić,45.3356930828,17.7572836032
i-o592,Lepavina,46.0979276617,16.6850278438
i-o496,Brđani Krajiški,45.383018,16.494682
i-o968,Dabar,43.6727287945,16.0106746003
i-o663,Pakrac Grad,45.4371242136,17.1887679921
i-o588,Novigrad Podravski,46.0845700213,16.9549836297
i-o402,Slakovci,45.2151434534,18.9462944199
i-o586,Đurđevac,46.0273446232,17.0652308
i-o692,Vrapče,45.8122886632,15.896561914
i-o768,Mala Subotica,46.3772423309,16.5348479978
i-o998,Buzet,45.4262660498,13.985151093
i-o953,Sadine,43.5634479702,16.2986679446
